job_role,company_name,company_type,knowledge,skills,knowledge_cleaned,skills_cleaned,combined_features
Compensation Analyst,Intel,GCC,"Analytics, data visualization, Power BI, complex Excel modeling, pay strategies, Payfactors, market pricing software, Radford, Mercer, WTW, data analysis, compensation data.","Creating dashboards and reports in Power BI, advanced Excel modeling, performing complex data analysis, responding to data insights, working with Payfactors and other market pricing software, familiarity with compensation data tools like Radford, Mercer, WTW, aligning pay strategies with business outcomes.",analytics data visualization power bi complex excel modeling pay strategies payfactors market pricing software radford mercer wtw data analysis compensation data,creating dashboards reports power bi advanced excel modeling performing complex data analysis responding data insights working payfactors market pricing software familiarity compensation data tools like radford mercer wtw aligning pay strategies business outcomes,Compensation Analyst GCC analytics data visualization power bi complex excel modeling pay strategies payfactors market pricing software radford mercer wtw data analysis compensation data creating dashboards reports power bi advanced excel modeling performing complex data analysis responding data insights working payfactors market pricing software familiarity compensation data tools like radford mercer wtw aligning pay strategies business outcomes
Data Science Senior Analyst,Dell Technologies,GCC,"Advanced English proficiency, Python programming, Machine Learning technologies, mathematical knowledge, statistical analysis skills, algorithm analysis, Deep Learning.","Advanced English communication (extensive interaction with global teams), Python programming, expertise in Machine Learning, statistical and mathematical analysis, algorithm design and analysis, knowledge of Deep Learning technologies.",advanced english proficiency python programming machine learning technologies mathematical knowledge statistical analysis skills algorithm analysis deep learning,advanced english communication extensive interaction global teams python programming expertise machine learning statistical mathematical analysis algorithm design analysis knowledge deep learning technologies,Data Science Senior Analyst GCC advanced english proficiency python programming machine learning technologies mathematical knowledge statistical analysis skills algorithm analysis deep learning advanced english communication extensive interaction global teams python programming expertise machine learning statistical mathematical analysis algorithm design analysis knowledge deep learning technologies
"Senior Analyst, Data Engineering",Dell Technologies,GCC,"Data engineering, machine learning, deep learning, data science, data pipeline and workflow management, cloud platforms (AWS, Azure, Google Cloud), big data tools (Hadoop, Spark), data visualization tools (Matplotlib, Seaborn, Tableau, Power BI), AI model optimization, data preprocessing, feature engineering, model evaluation, TensorFlow, PyTorch.","Data engineering and programming (Python, Java, C++), cloud platform expertise (AWS, Azure, Google Cloud), experience with data pipelines and workflow management tools, proficiency in big data tools (Hadoop, Spark), data visualization (Matplotlib, Seaborn, Tableau, Power BI), machine learning model development and optimization, familiarity with AI model quantization, data preprocessing, feature engineering, and model evaluation using frameworks like TensorFlow and PyTorch.",data engineering machine learning deep learning data science data pipeline workflow management cloud platforms aws azure google cloud big data tools hadoop spark data visualization tools matplotlib seaborn tableau power bi ai model optimization data preprocessing feature engineering model evaluation tensorflow pytorch,data engineering programming python java c cloud platform expertise aws azure google cloud experience data pipelines workflow management tools proficiency big data tools hadoop spark data visualization matplotlib seaborn tableau power bi machine learning model development optimization familiarity ai model quantization data preprocessing feature engineering model evaluation using frameworks like tensorflow pytorch,"Senior Analyst, Data Engineering GCC data engineering machine learning deep learning data science data pipeline workflow management cloud platforms aws azure google cloud big data tools hadoop spark data visualization tools matplotlib seaborn tableau power bi ai model optimization data preprocessing feature engineering model evaluation tensorflow pytorch data engineering programming python java c cloud platform expertise aws azure google cloud experience data pipelines workflow management tools proficiency big data tools hadoop spark data visualization matplotlib seaborn tableau power bi machine learning model development optimization familiarity ai model quantization data preprocessing feature engineering model evaluation using frameworks like tensorflow pytorch"
Senior ML Engineer| Data Science,Dell Technologies,GCC,"Machine Learning (ML), data mining, statistics, Natural Language Processing (NLP), Data Science Platforms (Domino Data Lab, Microsoft Azure, AWS, Google Cloud), object-oriented programming (C#, Java), Python, Spark, TensorFlow, XGBoost, productionizing ML models, low-latency environments, Data Mining, ETL, SQL OLAP, Teradata, Hadoop, cloud-native computing, DevOps, data streaming, parallelized workloads (Docker, Kubernetes, TDD, CI/CD).","Designing, implementing, testing, deploying, and maintaining ML solutions, engaging in design discussions, code reviews, collaborating with stakeholders, influencing business solutions with technical expertise, thriving in startup-like environments, proficiency in Data Science Platforms (Azure, AWS, Google Cloud), deep expertise in ML, data mining, NLP, experience with object-oriented programming (C#, Java), familiarity with Python, Spark, TensorFlow, XGBoost, productionizing ML models for low-latency environments, expertise in Data Mining, ETL, SQL OLAP, Teradata, Hadoop, cloud-native computing, DevOps, data streaming, parallelized workloads (Docker, Kubernetes, TDD, CI/CD).",machine learning ml data mining statistics natural language processing nlp data science platforms domino data lab microsoft azure aws google cloud objectoriented programming c java python spark tensorflow xgboost productionizing ml models lowlatency environments data mining etl sql olap teradata hadoop cloudnative computing devops data streaming parallelized workloads docker kubernetes tdd cicd,designing implementing testing deploying maintaining ml solutions engaging design discussions code reviews collaborating stakeholders influencing business solutions technical expertise thriving startuplike environments proficiency data science platforms azure aws google cloud deep expertise ml data mining nlp experience objectoriented programming c java familiarity python spark tensorflow xgboost productionizing ml models lowlatency environments expertise data mining etl sql olap teradata hadoop cloudnative computing devops data streaming parallelized workloads docker kubernetes tdd cicd,Senior ML Engineer| Data Science GCC machine learning ml data mining statistics natural language processing nlp data science platforms domino data lab microsoft azure aws google cloud objectoriented programming c java python spark tensorflow xgboost productionizing ml models lowlatency environments data mining etl sql olap teradata hadoop cloudnative computing devops data streaming parallelized workloads docker kubernetes tdd cicd designing implementing testing deploying maintaining ml solutions engaging design discussions code reviews collaborating stakeholders influencing business solutions technical expertise thriving startuplike environments proficiency data science platforms azure aws google cloud deep expertise ml data mining nlp experience objectoriented programming c java familiarity python spark tensorflow xgboost productionizing ml models lowlatency environments expertise data mining etl sql olap teradata hadoop cloudnative computing devops data streaming parallelized workloads docker kubernetes tdd cicd
Business Systems Analysis Manager,Cisco,GCC,"IT/Business Analyst role, Sales and Sales Compensation processes, Sales Crediting, Sales Compensation systems (Oracle Incentive Compensation, SAP Commissions), ERP and CRM applications, business functional areas and processes, Agile development methodology, software development lifecycle, test automation tools (UiPath), Oracle, SQL, Snowflake, PL/SQL.","Experience as an IT/Business Analyst or technical role, strong understanding of Sales Compensation and Sales Crediting, proficiency in ERP and CRM applications (Oracle Incentive Compensation, SAP Commissions), ability to articulate business processes clearly, excellent verbal and written communication, collaboration, and client management skills, experience in Agile development, familiarity with software development lifecycles and tools, ability to form relationships with both on-site and remote teams, leadership in agile partnerships between business, operations, and IT, facilitating estimation and decision-making sessions.",itbusiness analyst role sales sales compensation processes sales crediting sales compensation systems oracle incentive compensation sap commissions erp crm applications business functional areas processes agile development methodology software development lifecycle test automation tools uipath oracle sql snowflake plsql,experience itbusiness analyst technical role strong understanding sales compensation sales crediting proficiency erp crm applications oracle incentive compensation sap commissions ability articulate business processes clearly excellent verbal written communication collaboration client management skills experience agile development familiarity software development lifecycles tools ability form relationships onsite remote teams leadership agile partnerships business operations facilitating estimation decisionmaking sessions,Business Systems Analysis Manager GCC itbusiness analyst role sales sales compensation processes sales crediting sales compensation systems oracle incentive compensation sap commissions erp crm applications business functional areas processes agile development methodology software development lifecycle test automation tools uipath oracle sql snowflake plsql experience itbusiness analyst technical role strong understanding sales compensation sales crediting proficiency erp crm applications oracle incentive compensation sap commissions ability articulate business processes clearly excellent verbal written communication collaboration client management skills experience agile development familiarity software development lifecycles tools ability form relationships onsite remote teams leadership agile partnerships business operations facilitating estimation decisionmaking sessions
Solutions Engineer -Data Center Networking Specialist,Cisco,GCC,"IT infrastructure, design and implementation, presales and consulting, data center solutions (networking, compute, storage), Compute (x86 servers, Windows, Linux), networking (DC Fabric Technologies, Data Center Interconnect, VxLAN), virtualization (ESXi, Hyper-V, Public Cloud Services, Red Hat), converged and hyperconverged solutions.","Customer-facing experience in presales or consulting, strong presentation and communication skills, adaptability to new technologies, fast learning ability, problem-solving and analytical skills, hands-on experience with compute (x86 servers, Windows, Linux), storage and backup, networking technologies (DC Fabric, VxLAN, etc.), experience with virtualization (ESXi, Hyper-V, public cloud), knowledge of converged and hyperconverged solutions, strong understanding of data center solutions.",infrastructure design implementation presales consulting data center solutions networking compute storage compute x86 servers windows linux networking dc fabric technologies data center interconnect vxlan virtualization esxi hyperv public cloud services red hat converged hyperconverged solutions,customerfacing experience presales consulting strong presentation communication skills adaptability new technologies fast learning ability problemsolving analytical skills handson experience compute x86 servers windows linux storage backup networking technologies dc fabric vxlan etc experience virtualization esxi hyperv public cloud knowledge converged hyperconverged solutions strong understanding data center solutions,Solutions Engineer -Data Center Networking Specialist GCC infrastructure design implementation presales consulting data center solutions networking compute storage compute x86 servers windows linux networking dc fabric technologies data center interconnect vxlan virtualization esxi hyperv public cloud services red hat converged hyperconverged solutions customerfacing experience presales consulting strong presentation communication skills adaptability new technologies fast learning ability problemsolving analytical skills handson experience compute x86 servers windows linux storage backup networking technologies dc fabric vxlan etc experience virtualization esxi hyperv public cloud knowledge converged hyperconverged solutions strong understanding data center solutions
Technical Leader Data Engineer,Cisco,GCC,"Cloud computing services (AWS, Azure), Microservice architecture, stream and batch processing (Spark, EMR, Kinesis, Kafka, Flink, Beam), databases (Cassandra, Redshift, Postgres), Kubernetes, Docker, Elasticsearch, automation, Infrastructure as Code, CI-CD pipelines, SQL, Python, Scala, Java, AWS services (EC2, EMR, Fargate, Redshift, S3, IAM, Route53, RDS, VPC, Lambda, SQS, SNS, EKS, CloudWatch, API Gateway), Azure equivalent services, SDWAN concepts, networking.","Experience building scalable applications in cloud environments (AWS, Azure), proficient in stream/batch processing frameworks (Spark, Kafka, Flink, etc.), automation expertise and familiarity with CI-CD pipelines, strong programming skills in SQL, Python, Scala, Java, hands-on experience with cloud platforms (AWS, Azure), and microservice architecture, Infrastructure as Code experience, working knowledge of networking and SDWAN.",cloud computing services aws azure microservice architecture stream batch processing spark emr kinesis kafka flink beam databases cassandra redshift postgres kubernetes docker elasticsearch automation infrastructure code cicd pipelines sql python scala java aws services ec2 emr fargate redshift s3 iam route53 rds vpc lambda sqs sns eks cloudwatch api gateway azure equivalent services sdwan concepts networking,experience building scalable applications cloud environments aws azure proficient streambatch processing frameworks spark kafka flink etc automation expertise familiarity cicd pipelines strong programming skills sql python scala java handson experience cloud platforms aws azure microservice architecture infrastructure code experience working knowledge networking sdwan,Technical Leader Data Engineer GCC cloud computing services aws azure microservice architecture stream batch processing spark emr kinesis kafka flink beam databases cassandra redshift postgres kubernetes docker elasticsearch automation infrastructure code cicd pipelines sql python scala java aws services ec2 emr fargate redshift s3 iam route53 rds vpc lambda sqs sns eks cloudwatch api gateway azure equivalent services sdwan concepts networking experience building scalable applications cloud environments aws azure proficient streambatch processing frameworks spark kafka flink etc automation expertise familiarity cicd pipelines strong programming skills sql python scala java handson experience cloud platforms aws azure microservice architecture infrastructure code experience working knowledge networking sdwan
Data Analyst,IBM,GCC,"Financial data analysis, BI tools (Mode, Tableau, Power BI), SQL, PowerQuery, accounting data.","Strong SQL skills, experience with BI tools (Mode, Tableau, Power BI), financial data analysis, proficiency in PowerQuery, supporting accounting teams, data visualization and reporting.",financial data analysis bi tools mode tableau power bi sql powerquery accounting data,strong sql skills experience bi tools mode tableau power bi financial data analysis proficiency powerquery supporting accounting teams data visualization reporting,Data Analyst GCC financial data analysis bi tools mode tableau power bi sql powerquery accounting data strong sql skills experience bi tools mode tableau power bi financial data analysis proficiency powerquery supporting accounting teams data visualization reporting
Cloud Data Analyst,IBM,GCC,"Data analytics, data acquisition and processing, data visualization, Agile methodologies, cloud-based services (SaaS, PaaS, IaaS), containerized runtimes, AI/ML model training, Python, REST API programming, data modeling libraries (Jupyter Notebook, Pandas), Microsoft Excel, machine learning evaluation.","Data acquisition, analysis, and visualization, advanced Excel (formulas, pivot tables, charts), communicating complex technical issues to non-technical audiences, team leadership, work decomposition, Agile project management, experience with Tableau, Power BI, Python, and REST APIs, presenting key findings to business leaders, cloud infrastructure management, AI/ML model training and improvement.",data analytics data acquisition processing data visualization agile methodologies cloudbased services saas paas iaas containerized runtimes aiml model training python rest api programming data modeling libraries jupyter notebook pandas microsoft excel machine learning evaluation,data acquisition analysis visualization advanced excel formulas pivot tables charts communicating complex technical issues nontechnical audiences team leadership work decomposition agile project management experience tableau power bi python rest apis presenting key findings business leaders cloud infrastructure management aiml model training improvement,Cloud Data Analyst GCC data analytics data acquisition processing data visualization agile methodologies cloudbased services saas paas iaas containerized runtimes aiml model training python rest api programming data modeling libraries jupyter notebook pandas microsoft excel machine learning evaluation data acquisition analysis visualization advanced excel formulas pivot tables charts communicating complex technical issues nontechnical audiences team leadership work decomposition agile project management experience tableau power bi python rest apis presenting key findings business leaders cloud infrastructure management aiml model training improvement
Data Engineer,IBM,GCC,"Data Engineering, Machine Learning, Python programming, RESTful APIs, MySQL, PostgreSQL, Web scraping, Data collection methods, Exploratory Data Analysis (EDA), Data management, Knowledge bases, Cloud platforms (IBM Cloud, Cirrus), DevOps tools (GitHub Enterprise, CI/CD), Data security, privacy, compliance standards.","Optimizing data retrieval, improving machine learning workflows, real-time performance enhancement for Generative AI systems, collaborating with Product Managers and technical leads, building data pipelines, integrating models into production environments, supporting AI use cases, creating tools for PMs, ensuring smooth data flow, ensuring regulatory compliance in data processes.",data engineering machine learning python programming restful apis mysql postgresql web scraping data collection methods exploratory data analysis eda data management knowledge bases cloud platforms ibm cloud cirrus devops tools github enterprise cicd data security privacy compliance standards,optimizing data retrieval improving machine learning workflows realtime performance enhancement generative ai systems collaborating product managers technical leads building data pipelines integrating models production environments supporting ai use cases creating tools pms ensuring smooth data flow ensuring regulatory compliance data processes,Data Engineer GCC data engineering machine learning python programming restful apis mysql postgresql web scraping data collection methods exploratory data analysis eda data management knowledge bases cloud platforms ibm cloud cirrus devops tools github enterprise cicd data security privacy compliance standards optimizing data retrieval improving machine learning workflows realtime performance enhancement generative ai systems collaborating product managers technical leads building data pipelines integrating models production environments supporting ai use cases creating tools pms ensuring smooth data flow ensuring regulatory compliance data processes
Business Analyst,SAP Labs,GCC,"Spend analysis, Cost planning, Financial modeling, Forecasting techniques, Data analysis, Financial databases, SAP ERP, SAP Analytics Cloud, BW, Business intelligence platforms, Data visualization tools.","Analyzing complex data sets, Collecting and organizing financial data, Communicating complex financial information, Presenting financial findings clearly and concisely, Ensuring data accuracy and integrity, Proficiency in Microsoft Office suite, Attention to detail, Financial analysis in IT/software services industry, Familiarity with SAP ERP systems and analytics tools.",spend analysis cost planning financial modeling forecasting techniques data analysis financial databases sap erp sap analytics cloud bw business intelligence platforms data visualization tools,analyzing complex data sets collecting organizing financial data communicating complex financial information presenting financial findings clearly concisely ensuring data accuracy integrity proficiency microsoft office suite attention detail financial analysis itsoftware services industry familiarity sap erp systems analytics tools,Business Analyst GCC spend analysis cost planning financial modeling forecasting techniques data analysis financial databases sap erp sap analytics cloud bw business intelligence platforms data visualization tools analyzing complex data sets collecting organizing financial data communicating complex financial information presenting financial findings clearly concisely ensuring data accuracy integrity proficiency microsoft office suite attention detail financial analysis itsoftware services industry familiarity sap erp systems analytics tools
Senior Data Engineer,SAP Labs,GCC,"Data architecture design, Data ingestion, Storage and processing requirements, Data modeling, Data schemas, Business needs alignment, Analytical goals, Data management technologies, Databases, Data warehouses, Cloud platforms (AWS, Azure, Google Cloud), Statistical analysis, Machine learning, Predictive modeling, Prescriptive modeling, ETL tools, Data visualization tools (SAP Datasphere, SAP SAC, Tableau, Power BI).","Designing scalable and secure data architectures, Implementing data models and schemas, Recommending data management technologies, Extracting insights through data analysis, Developing predictive and prescriptive models, Proficiency in Java and Python, Experience with data architecture frameworks, Data visualization, Fluency in English (both written and spoken).",data architecture design data ingestion storage processing requirements data modeling data schemas business needs alignment analytical goals data management technologies databases data warehouses cloud platforms aws azure google cloud statistical analysis machine learning predictive modeling prescriptive modeling etl tools data visualization tools sap datasphere sap sac tableau power bi,designing scalable secure data architectures implementing data models schemas recommending data management technologies extracting insights data analysis developing predictive prescriptive models proficiency java python experience data architecture frameworks data visualization fluency english written spoken,Senior Data Engineer GCC data architecture design data ingestion storage processing requirements data modeling data schemas business needs alignment analytical goals data management technologies databases data warehouses cloud platforms aws azure google cloud statistical analysis machine learning predictive modeling prescriptive modeling etl tools data visualization tools sap datasphere sap sac tableau power bi designing scalable secure data architectures implementing data models schemas recommending data management technologies extracting insights data analysis developing predictive prescriptive models proficiency java python experience data architecture frameworks data visualization fluency english written spoken
Senior Data Scientist,SAP Labs,GCC,"Machine learning algorithms, Model evaluation and validation techniques, Generative AI, Large Language Models, SQL and NoSQL databases, Cloud platforms (AWS Sagemaker, MLFlow, Weights and Biases), Machine learning frameworks, Data pipelines, Model deployment in production.","Strong programming skills in Python, Proficiency in machine learning libraries (scikit-learn, Hugging Face, Langchain, PyTorch), Effective communication of complex technical concepts to non-technical stakeholders, Experience in building data pipelines, Deployment of machine learning models in production environments.",machine learning algorithms model evaluation validation techniques generative ai large language models sql nosql databases cloud platforms aws sagemaker mlflow weights biases machine learning frameworks data pipelines model deployment production,strong programming skills python proficiency machine learning libraries scikitlearn hugging face langchain pytorch effective communication complex technical concepts nontechnical stakeholders experience building data pipelines deployment machine learning models production environments,Senior Data Scientist GCC machine learning algorithms model evaluation validation techniques generative ai large language models sql nosql databases cloud platforms aws sagemaker mlflow weights biases machine learning frameworks data pipelines model deployment production strong programming skills python proficiency machine learning libraries scikitlearn hugging face langchain pytorch effective communication complex technical concepts nontechnical stakeholders experience building data pipelines deployment machine learning models production environments
Client Data Analyst,JP Morgan Chase,GCC,"KYC (Know Your Customer), Audit, Control, Risk, AML (Anti-Money Laundering), Research, Data analysis, Controls and compliance standards.","Strong research, analytical, and comprehension skills, Ability to analyze large data sets, Client-focused with excellent customer engagement, Self-starter with high motivation and commitment, Experience working in a team environment, Problem-solving skills.",kyc know customer audit control risk aml antimoney laundering research data analysis controls compliance standards,strong research analytical comprehension skills ability analyze large data sets clientfocused excellent customer engagement selfstarter high motivation commitment experience working team environment problemsolving skills,Client Data Analyst GCC kyc know customer audit control risk aml antimoney laundering research data analysis controls compliance standards strong research analytical comprehension skills ability analyze large data sets clientfocused excellent customer engagement selfstarter high motivation commitment experience working team environment problemsolving skills
"Business Analyst (SAS, SQL, Python)",JP Morgan Chase,GCC,"Risk and control environment, Pricing core systems, Credit Card domain knowledge, Mainframe systems, Automation tools (VBA, SAS, SQL, Python, Tableau, Selenium, Alteryx), Agile working environment, Control procedures and documentation, Root cause analysis, Metrics analysis.","Experience in coding (Python, SQL, SAS), Strong business acumen, Problem-solving, Automation framework development, Data synthesis and analysis, Communication (written/verbal), Presentation skills, Attention to detail in documentation and communication, Ability to work independently and manage multiple tasks, Ability to influence business leaders, Shift work adaptability (1 PM to 10 PM IST).",risk control environment pricing core systems credit card domain knowledge mainframe systems automation tools vba sas sql python tableau selenium alteryx agile working environment control procedures documentation root cause analysis metrics analysis,experience coding python sql sas strong business acumen problemsolving automation framework development data synthesis analysis communication writtenverbal presentation skills attention detail documentation communication ability work independently manage multiple tasks ability influence business leaders shift work adaptability 1 pm 10 pm ist,"Business Analyst (SAS, SQL, Python) GCC risk control environment pricing core systems credit card domain knowledge mainframe systems automation tools vba sas sql python tableau selenium alteryx agile working environment control procedures documentation root cause analysis metrics analysis experience coding python sql sas strong business acumen problemsolving automation framework development data synthesis analysis communication writtenverbal presentation skills attention detail documentation communication ability work independently manage multiple tasks ability influence business leaders shift work adaptability 1 pm 10 pm ist"
Business Analyst/Manager Business Analyst,HSBC,GCC,"Financial instruments (OTCs, Credit Derivatives, Interest Rate Derivatives, Securities Financing Transactions, ETDs, FX, Equities, Repos, Stock Borrow Lending), Data Modelling (Trade, Position, Product, Cashflow, Valuation, Risk, Collateral, Accounting, Client, Reference and Market Data), Front-to-Back Trade lifecycle, Booking Models, FO-BO-GL Recs, Cross-functional business functions (Front Office, Middle Office, Back Office, Finance, Risk, Regulatory Reporting), Capital markets cross-asset products (FX, Equities, Fixed Income, Rates, Credit, Commodities), SDLC processes, Big Data environments (Hadoop, Spark), ETL processes, Data warehousing, Financial data sourcing, FpML.","Data analysis, SQL (writing and interpreting), Spark SQL, Python, Airflow, Git, REST APIs, XML/XSD, JSON/Protobuf, CI/CD pipelines, Data processing pipelines, Data sourcing, Agile/Scrum/DevOps, ETL, Database technologies (SQL Server, Oracle), SDLC tools (JIRA, Jenkins, Git), Strong interpersonal skills, Collaboration with senior stakeholders, Documentation skills, Strong problem-solving, Ability to work under tight deadlines, Ability to manage issues independently, BDD experience, Project management (status reporting, risk/issue logs), Diagramming, Influence and negotiation with stakeholders.",financial instruments otcs credit derivatives interest rate derivatives securities financing transactions etds fx equities repos stock borrow lending data modelling trade position product cashflow valuation risk collateral accounting client reference market data fronttoback trade lifecycle booking models fobogl recs crossfunctional business functions front office middle office back office finance risk regulatory reporting capital markets crossasset products fx equities fixed income rates credit commodities sdlc processes big data environments hadoop spark etl processes data warehousing financial data sourcing fpml,data analysis sql writing interpreting spark sql python airflow git rest apis xmlxsd jsonprotobuf cicd pipelines data processing pipelines data sourcing agilescrumdevops etl database technologies sql server oracle sdlc tools jira jenkins git strong interpersonal skills collaboration senior stakeholders documentation skills strong problemsolving ability work tight deadlines ability manage issues independently bdd experience project management status reporting riskissue logs diagramming influence negotiation stakeholders,Business Analyst/Manager Business Analyst GCC financial instruments otcs credit derivatives interest rate derivatives securities financing transactions etds fx equities repos stock borrow lending data modelling trade position product cashflow valuation risk collateral accounting client reference market data fronttoback trade lifecycle booking models fobogl recs crossfunctional business functions front office middle office back office finance risk regulatory reporting capital markets crossasset products fx equities fixed income rates credit commodities sdlc processes big data environments hadoop spark etl processes data warehousing financial data sourcing fpml data analysis sql writing interpreting spark sql python airflow git rest apis xmlxsd jsonprotobuf cicd pipelines data processing pipelines data sourcing agilescrumdevops etl database technologies sql server oracle sdlc tools jira jenkins git strong interpersonal skills collaboration senior stakeholders documentation skills strong problemsolving ability work tight deadlines ability manage issues independently bdd experience project management status reporting riskissue logs diagramming influence negotiation stakeholders
Manager Data Analyst,HSBC,GCC,"Banking operations and processes (Risk, Finance context), Agile (Scrum), JIRA, Confluence, SQL and data query languages, Hadoop Big Data, Delta Lake, Google Cloud Platform (GCP), Data Virtualization products and technologies, Data Security/Entitlements/Encryption products, Observability, monitoring, and instrumentation technologies, REST and Streaming APIs.","Project collaboration tools (JIRA, Confluence), Data query languages (SQL), Hadoop Big Data, Delta Lake, Google Cloud Platform, Data Virtualization, Data Security, Data Encryption, Observability, Monitoring tools, REST APIs, Streaming APIs, Agile methodologies (Scrum).",banking operations processes risk finance context agile scrum jira confluence sql data query languages hadoop big data delta lake google cloud platform gcp data virtualization products technologies data securityentitlementsencryption products observability monitoring instrumentation technologies rest streaming apis,project collaboration tools jira confluence data query languages sql hadoop big data delta lake google cloud platform data virtualization data security data encryption observability monitoring tools rest apis streaming apis agile methodologies scrum,Manager Data Analyst GCC banking operations processes risk finance context agile scrum jira confluence sql data query languages hadoop big data delta lake google cloud platform gcp data virtualization products technologies data securityentitlementsencryption products observability monitoring instrumentation technologies rest streaming apis project collaboration tools jira confluence data query languages sql hadoop big data delta lake google cloud platform data virtualization data security data encryption observability monitoring tools rest apis streaming apis agile methodologies scrum
Senior Data Analyst/Lead Consultant Specialist,HSBC,GCC,"Finance background with financial instruments (OTCs, Credit Derivatives, Interest Rate Derivatives, Securities Financing, FX, Equities, ETDs), Data Modelling (Trade, Position, Cashflow, Valuation, Risk, Collateral, Accounting, Client, Reference, Market Data), Data analysis techniques and methodologies, SQL, Python, Airflow, Big Data technologies (Hadoop, Spark), Front-to-Back Trade lifecycle, Capital Markets (FX, EQ, FI, Rates, Credit, Commodity), SDLC tools (JIRA, Jenkins, Git), Data warehouse systems (SQL Server, Oracle), Behavioral Driven Development, FpML.","Strong technical and data analysis skills (Spark SQL, Git, XML/XSD, JSON/Protobuf, REST APIs, CICD pipelines), Python, Airflow, Data sourcing, Data analysis, Writing and interpreting SQL, ETL processes, Data processing pipelines, Project management, Agile/Scrum/DevOps, Cross-functional business knowledge (Front Office, Middle Office, Back Office), Communication with senior stakeholders, Diagramming & documentation, Managing large-scale data projects, Delivering high-quality products.",finance background financial instruments otcs credit derivatives interest rate derivatives securities financing fx equities etds data modelling trade position cashflow valuation risk collateral accounting client reference market data data analysis techniques methodologies sql python airflow big data technologies hadoop spark fronttoback trade lifecycle capital markets fx eq fi rates credit commodity sdlc tools jira jenkins git data warehouse systems sql server oracle behavioral driven development fpml,strong technical data analysis skills spark sql git xmlxsd jsonprotobuf rest apis cicd pipelines python airflow data sourcing data analysis writing interpreting sql etl processes data processing pipelines project management agilescrumdevops crossfunctional business knowledge front office middle office back office communication senior stakeholders diagramming documentation managing largescale data projects delivering highquality products,Senior Data Analyst/Lead Consultant Specialist GCC finance background financial instruments otcs credit derivatives interest rate derivatives securities financing fx equities etds data modelling trade position cashflow valuation risk collateral accounting client reference market data data analysis techniques methodologies sql python airflow big data technologies hadoop spark fronttoback trade lifecycle capital markets fx eq fi rates credit commodity sdlc tools jira jenkins git data warehouse systems sql server oracle behavioral driven development fpml strong technical data analysis skills spark sql git xmlxsd jsonprotobuf rest apis cicd pipelines python airflow data sourcing data analysis writing interpreting sql etl processes data processing pipelines project management agilescrumdevops crossfunctional business knowledge front office middle office back office communication senior stakeholders diagramming documentation managing largescale data projects delivering highquality products
Data scientist,Paypal,GCC,"Bachelorâs in a quantitative field (math, statistics, computer science, or similar STEM fields), advanced degrees preferred, Understanding of statistics (hypothesis testing, statistical inference, regression), Product strategy analysis, Experience designing and evaluating complex experiments, Data-driven decision-making.","At least 3 years of experience in data analysis, Synthesizing insights from multi-dimensional data sets, Fluent in SQL, Proficiency in Python or R, Strong project management and interpersonal skills, Leading cross-functional teams, Experience with visualization tools (e.g., Tableau), Experience working with large, complex datasets, Ability to influence product strategy, Data-centric presentations, Prior experience in product analytics.",bachelors quantitative field math statistics computer science similar stem fields advanced degrees preferred understanding statistics hypothesis testing statistical inference regression product strategy analysis experience designing evaluating complex experiments datadriven decisionmaking,least 3 years experience data analysis synthesizing insights multidimensional data sets fluent sql proficiency python r strong project management interpersonal skills leading crossfunctional teams experience visualization tools eg tableau experience working large complex datasets ability influence product strategy datacentric presentations prior experience product analytics,Data scientist GCC bachelors quantitative field math statistics computer science similar stem fields advanced degrees preferred understanding statistics hypothesis testing statistical inference regression product strategy analysis experience designing evaluating complex experiments datadriven decisionmaking least 3 years experience data analysis synthesizing insights multidimensional data sets fluent sql proficiency python r strong project management interpersonal skills leading crossfunctional teams experience visualization tools eg tableau experience working large complex datasets ability influence product strategy datacentric presentations prior experience product analytics
Data analyst,Paypal,GCC,"Masterâs degree in Statistics, Analytics, Data Science, or Business Administration, Experience within Financial Services/Credit industry, Collections and Digital Channels, Strong understanding of data-driven problem-solving, Familiarity with technology environments","Experience in financial services or credit industry, High proficiency in SQL, Experience with Python, R, Unix, and Hadoop, Strong organizational and follow-through skills, Excellent written, verbal, and interpersonal communication, Creative problem-solving approach, Ability to work in a technology-driven environment, ""Can-do"" mentality.",masters degree statistics analytics data science business administration experience within financial servicescredit industry collections digital channels strong understanding datadriven problemsolving familiarity technology environments,experience financial services credit industry high proficiency sql experience python r unix hadoop strong organizational followthrough skills excellent written verbal interpersonal communication creative problemsolving approach ability work technologydriven environment cando mentality,Data analyst GCC masters degree statistics analytics data science business administration experience within financial servicescredit industry collections digital channels strong understanding datadriven problemsolving familiarity technology environments experience financial services credit industry high proficiency sql experience python r unix hadoop strong organizational followthrough skills excellent written verbal interpersonal communication creative problemsolving approach ability work technologydriven environment cando mentality
