job_role,company_name,company_type,knowledge,skills
Cloud Data Engineer,Apple,MAANG/FAAMG,"Data pipeline development, cloud and hybrid infrastructure, cloud-based data warehouse solutions (Snowflake, SingleStore), SQL, advanced SQL, cloud platforms (AWS, GCP, Azure), data lakes, big data tech stack, Python, Scala, dimensional data modeling, relational databases, MPP/distributed systems, Data Science, global collaboration.","Cloud data pipeline development, SQL proficiency, data modeling, dimensional modeling, big data processing, advanced programming (Python, Scala), problem-solving, critical thinking, communication (written and oral), collaboration, influencing decision-making, learning new technologies quickly, database development, working with large-scale data (petabytes), working in data science projects."
"Data Engineer,Machine Learning",Apple,MAANG/FAAMG,"Java, Python, Machine Learning concepts, real-time stream data processing, Hadoop/Spark ecosystem, AWS services, distributed messaging systems (Kafka, Solace), CloudFormation, Ansible, Machine Learning pipelines, GenAI concepts, relational databases (Oracle), NoSQL databases (Cassandra), AWS certification.","Programming (Java/Python), real-time data processing, cloud-based development (AWS), system automation (CloudFormation, Ansible), machine learning pipeline development, documentation (technical, diagrams, flowcharts), problem evaluation, requirement definition, distributed messaging systems management, database management (relational/NoSQL), communication, collaboration, technical troubleshooting, GenAI application."
"Senior Business Data Scientist, Finance",Google,MAANG/FAAMG,"Data analysis (time series data), business problem-solving, statistical software (Python), database languages (SQL), data visualization tools (Tableau), stakeholder-facing roles, client-facing roles, technical solutions, business acumen.","Time series data analysis, problem-solving in ambiguous environments, data intuition, communication (written and verbal), translating technical solutions to leadership, consulting, database querying, data visualization, stakeholder management, technical methodology explanation."
"Business Data Scientist, Finance",Google,MAANG/FAAMG,"Data analysis, time series data, business problem-solving, statistical software (Python), database languages (SQL), data visualization tools (Tableau), stakeholder-facing roles, client-facing roles, consulting, business acumen.","Time series data analysis, problem-solving in fast-paced, ambiguous environments, data intuition, communication (written and verbal), translating technical solutions to leadership, consulting experience, database querying, data visualization, stakeholder management, technical methodology explanation"
"Strategic Cloud Engineer, Data and Analytics",Google,MAANG/FAAMG,"Client-side web technologies (HTML, CSS, JavaScript, HTTP), technical troubleshooting, programming languages (Java, C/C++, Python), data processing software, data processing algorithms, data warehouse architectures, ETL/ELT processes, reporting/analytic tools, encryption techniques (symmetric, asymmetric, Hardware Security Modules), key management systems, Big Data, information retrieval, data mining, NoSQL databases (MongoDB), Infrastructure as Code (IaC), CI/CD tools (Terraform, Ansible, Jenkins).","Web development (HTML, CSS, JavaScript), technical troubleshooting, partner/customer management, programming (Java, C/C++, Python), data processing, data analysis, encryption implementation, key storage management, working with data warehouses, data warehouse infrastructure, ETL/ELT pipeline management, Big Data technologies, application development with NoSQL, building multi-tier applications, Infrastructure as Code practices, CI/CD pipeline management, use of Terraform, Ansible, Jenkins."
"ASIC Engineer, Design Verification",Meta/Facebook,MAANG/FAAMG,"SystemVerilog, UVM methodology, C/C++, IP/sub-system/SoC verification, SV Assertions, Formal verification, Emulation, EDA tools, scripting languages (Python, TCL, Perl, Shell), Design Verification infrastructure, revision control systems (Mercurial, Git, SVN), ARM/RISC-V architectures, high-speed interfaces (PCIe, DDR, Ethernet), Data-center applications (Video, AI/ML, Networking), cross-functional team collaboration.","Hands-on verification experience (SystemVerilog/UVM, C/C++), functional verification, tool and flow development for verification environments, architecture and implementation of Design Verification infrastructure, full verification cycle execution, UVM environment development, verification of complex sub-systems/SoCs, high-speed interface verification, design and emulation team collaboration, scripting for automation (Python, TCL, Perl, Shell), revision control, verification of AI/ML and networking designs, cross-functional communication and relationship building."
ASIC Engineer - Infra Specialist,Meta/Facebook,MAANG/FAAMG,"Embedded system development, C programming, BootROM, bootloaders, secure boot, platform firmware development, SoC architecture, embedded hardware platforms, RTOS (Zephyr), embedded Linux, peripheral drivers (PCIe, UART, I2C, SPI), Python or scripting languages, lab instrumentation (oscilloscopes, logic/protocol analyzers), product solution delivery, SoC block understanding, board bring-up.","Embedded system development (C programming), debugging, testing, performance analysis, secure boot development, firmware development, working with hardware platforms, interrupt handling, polling, RTOS and embedded Linux development, peripheral driver development, scripting for tooling and automation, project leadership, cross-team collaboration, hardware-level debugging, end-to-end product delivery, product solution architecture, board bring-up expertise."
"

ASIC Engineer, Design Verification",Meta/Facebook,MAANG/FAAMG,"SystemVerilog, UVM/OVM methodology, C/C++, IP/sub-system/SoC verification, SV Assertions, Formal verification, Emulation, EDA tools, scripting languages (Python, TCL, Perl, Shell), Design Verification infrastructure, revision control systems (Mercurial, Git, SVN), ARM/RISC-V architectures, high-speed interfaces (PCIe, DDR, Ethernet), Data-center applications (Video, AI/ML, Networking), cross-functional team collaboration.","Hands-on verification (SystemVerilog/UVM, C/C++), functional verification, tool and flow development for verification environments, design and implementation of verification infrastructure, full verification cycle execution, UVM environment creation, verification of complex subsystems/SoCs, high-speed interface verification, design verification for AI/ML and networking, scripting for automation (Python, TCL, Perl, Shell), cross-team collaboration, revision control management, relationship building with design, model, and emulation teams, experience with ARM/RISC-V verification, SoC integration verification."
Data Engineer,Adobe,GCC,"SQL Server, SSIS, Data Warehousing (DW), Data Analysis, Business Intelligence (BI), TSQL, stored procedures, database performance tuning, Dimensional Modeling, ETL processes, OLAP Schema, Public Objects (Attributes, Facts, Metrics), Microsoft Azure (ADF, Databricks, Azure SQL).","SQL Server management, TSQL scripting, performance tuning, database development, ETL development, Data Warehousing design, Business Intelligence implementation, Dimensional Modeling, OLAP schema design, crafting public objects, Azure cloud tools (ADF, Databricks, Azure SQL), data analysis, reporting, and metric creation."
Business Intelligence Analyst,Adobe,GCC,"Data analysis, large datasets, MS Excel, T-SQL, Power BI, Python, R, Microsoft Office, Advanced Analytics, Machine Learning, Neural Networks.","Data analysis, proficiency with data tools (MS Excel, T-SQL, Power BI, Python, R), business communication (verbal and written), advanced analytics, machine learning concepts, neural network understanding, data visualization, reporting, and interpretation."
Big Data Architect,Adobe,GCC,"Data ingestion, data storage, data processing, data analysis, data warehousing, data modeling techniques, DNN frameworks (TensorFlow, PyTorch), Hadoop ecosystem (Hadoop, Spark, Hive), stream processing (Storm, Flink), container orchestration (Docker, Kubernetes), DevOps pipelines, workflow orchestration (Airflow, Flyte), data engineering tools (DeltaLake, DataHub), data structures, algorithms, multi-threaded programming, distributed computing concepts, ML model deployment.","Data engineering, large-scale data processing, data modeling, working with DNN frameworks (TensorFlow, PyTorch), Python, Java/Scala, SQL, DevOps pipeline management, container orchestration, Hadoop ecosystem tools, stream processing, workflow management, ML model and algorithm design, multi-threaded programming, distributed computing, cross-functional collaboration, production-ready ML model development, distributed algorithm implementation, self-starter and team-oriented mindset."
Data Science Engineer,Oracle,GCC,"Software development, object-oriented programming, Java, Python, JavaScript, HTML, RESTful Web Services, parallel processing platforms (Spark, Kafka), responsive web applications, unit testing, Linux/Unix operating systems, Java frameworks (Spring), relational databases, SQL queries, data science concepts (optimization, data mining), Agile methodology, Oracle JET, Oracle Data Visualizer, Oracle APEX, cloud-native applications, containers, Kubernetes, Helm.","Software development, OOP (Java, Python, JavaScript), RESTful API design, parallel processing (Spark, Kafka), responsive web design, unit testing, Linux/Unix, Spring framework, SQL querying, relational database management, Agile development, communication, multi-tasking, data science (optimization, data mining), web development (Oracle JET, Node.js, CSS3, HTML5), cloud-native application development (containers, Kubernetes, Helm), team collaboration, self-motivation, accountability, cross-functional team interaction, developing enterprise solutions, product design and integration."
Data Scientist,Oracle,GCC,"Machine learning models (R, Python, SAS), graph analytics, SQL databases (Oracle), Apache Hadoop ecosystem, fraud detection algorithms (real-time transaction fraud, identity fraud, cybercrime), technical documentation, product usage and positioning, industry-leading product documentation, engineering quality metrics, collaboration, and innovation.","Machine learning model development (R, Python, SAS), graph analytics, SQL (Oracle), Hadoop ecosystem (Apache), designing fraud detection algorithms, documenting technical requirements and designs, collaboration in cross-functional teams, presenting product usage and positioning to sales and pre-sales teams, ensuring high engineering quality standards, producing industry-standard product documentation, and thinking creatively to solve complex challenges."
Pricipal Data Plane Engineer,Oracle,GCC,"Delta Sharing, Apache Kafka, Snowflake (schema design, query optimization, Snowpipe), Oracle Data Streams, data manipulation and analysis (SQL), cloud platforms (OCI, AWS, Azure), Spark, Flink, Beam, real-time analytics, machine learning data pipelines, DevOps practices for CI/CD.","Data exchange with Delta Sharing, Kafka cluster setup and management, real-time data processing, Snowflake database management, query optimization, and Snowpipe integration, streaming solutions (Oracle Data Streams), Python, Java, Scala for data pipelines, SQL for data manipulation, cloud-based data infrastructure deployment (OCI, AWS, Azure), distributed data processing (Spark, Flink, Beam), real-time analytics, problem-solving, communication with both technical and non-technical stakeholders, DevOps for CI/CD in data pipelines."
SAP IT Business Systems Analyst,Intel,GCC,"Large-scale business transformation, SAP implementations, global enterprises, complex systems and project environments, Order to Cash business processes, Returns Management, Warranty and Entitlement Management, SAP S/4, SAP Advanced Returns Management Module (ARM), SAP Entitlement Management System (EMS).","Expertise in business transformation, SAP implementation in global enterprises, mapping business requirements to SAP processes (Order to Cash, Returns Management, Warranty and Entitlement Management), S/4 SAP Advanced Returns Management (ARM), knowledge of SAP Entitlement Management System (EMS), process optimization with minimal customization, navigating complex SAP project environments, understanding of key business processes and system integration."
Software Research Engineer/Scientist,Intel,GCC,"Programming (C++, Python), data analysis, CAD tool development, data structures, algorithms (runtime and memory optimization), statistical methods, numerical algorithms, computational geometry, database design for big data, physical design, design rule modeling, Optical Proximity Correction (OPC), lithography simulation, React.js (Redux, CSS, Bootstrap), data structure libraries (Immutable.js).","Software development (C++, Python), efficient data structure and algorithm implementation, CAD/AI problem-solving, data analysis (statistical methods), numerical algorithm design, computational geometry, database and system design for big data applications, physical design and design rule modeling, OPC and lithography simulation, software tool development, React.js workflows (Redux), CSS, popular design frameworks (Bootstrap), experience with data structure libraries (Immutable.js), ability to convert algorithms to robust software solutions."
Compensation Analyst,Intel,GCC,"Analytics, data visualization, Power BI, complex Excel modeling, pay strategies, Payfactors, market pricing software, Radford, Mercer, WTW, data analysis, compensation data.","Creating dashboards and reports in Power BI, advanced Excel modeling, performing complex data analysis, responding to data insights, working with Payfactors and other market pricing software, familiarity with compensation data tools like Radford, Mercer, WTW, aligning pay strategies with business outcomes."
Data Science Senior Analyst,Dell Technologies,GCC,"Advanced English proficiency, Python programming, Machine Learning technologies, mathematical knowledge, statistical analysis skills, algorithm analysis, Deep Learning.","Advanced English communication (extensive interaction with global teams), Python programming, expertise in Machine Learning, statistical and mathematical analysis, algorithm design and analysis, knowledge of Deep Learning technologies."
"Senior Analyst, Data Engineering",Dell Technologies,GCC,"Data engineering, machine learning, deep learning, data science, data pipeline and workflow management, cloud platforms (AWS, Azure, Google Cloud), big data tools (Hadoop, Spark), data visualization tools (Matplotlib, Seaborn, Tableau, Power BI), AI model optimization, data preprocessing, feature engineering, model evaluation, TensorFlow, PyTorch.","Data engineering and programming (Python, Java, C++), cloud platform expertise (AWS, Azure, Google Cloud), experience with data pipelines and workflow management tools, proficiency in big data tools (Hadoop, Spark), data visualization (Matplotlib, Seaborn, Tableau, Power BI), machine learning model development and optimization, familiarity with AI model quantization, data preprocessing, feature engineering, and model evaluation using frameworks like TensorFlow and PyTorch."
Senior ML Engineer| Data Science,Dell Technologies,GCC,"Machine Learning (ML), data mining, statistics, Natural Language Processing (NLP), Data Science Platforms (Domino Data Lab, Microsoft Azure, AWS, Google Cloud), object-oriented programming (C#, Java), Python, Spark, TensorFlow, XGBoost, productionizing ML models, low-latency environments, Data Mining, ETL, SQL OLAP, Teradata, Hadoop, cloud-native computing, DevOps, data streaming, parallelized workloads (Docker, Kubernetes, TDD, CI/CD).","Designing, implementing, testing, deploying, and maintaining ML solutions, engaging in design discussions, code reviews, collaborating with stakeholders, influencing business solutions with technical expertise, thriving in startup-like environments, proficiency in Data Science Platforms (Azure, AWS, Google Cloud), deep expertise in ML, data mining, NLP, experience with object-oriented programming (C#, Java), familiarity with Python, Spark, TensorFlow, XGBoost, productionizing ML models for low-latency environments, expertise in Data Mining, ETL, SQL OLAP, Teradata, Hadoop, cloud-native computing, DevOps, data streaming, parallelized workloads (Docker, Kubernetes, TDD, CI/CD)."
Business Systems Analysis Manager,Cisco,GCC,"IT/Business Analyst role, Sales and Sales Compensation processes, Sales Crediting, Sales Compensation systems (Oracle Incentive Compensation, SAP Commissions), ERP and CRM applications, business functional areas and processes, Agile development methodology, software development lifecycle, test automation tools (UiPath), Oracle, SQL, Snowflake, PL/SQL.","Experience as an IT/Business Analyst or technical role, strong understanding of Sales Compensation and Sales Crediting, proficiency in ERP and CRM applications (Oracle Incentive Compensation, SAP Commissions), ability to articulate business processes clearly, excellent verbal and written communication, collaboration, and client management skills, experience in Agile development, familiarity with software development lifecycles and tools, ability to form relationships with both on-site and remote teams, leadership in agile partnerships between business, operations, and IT, facilitating estimation and decision-making sessions."
Solutions Engineer -Data Center Networking Specialist,Cisco,GCC,"IT infrastructure, design and implementation, presales and consulting, data center solutions (networking, compute, storage), Compute (x86 servers, Windows, Linux), networking (DC Fabric Technologies, Data Center Interconnect, VxLAN), virtualization (ESXi, Hyper-V, Public Cloud Services, Red Hat), converged and hyperconverged solutions.","Customer-facing experience in presales or consulting, strong presentation and communication skills, adaptability to new technologies, fast learning ability, problem-solving and analytical skills, hands-on experience with compute (x86 servers, Windows, Linux), storage and backup, networking technologies (DC Fabric, VxLAN, etc.), experience with virtualization (ESXi, Hyper-V, public cloud), knowledge of converged and hyperconverged solutions, strong understanding of data center solutions."
Technical Leader Data Engineer,Cisco,GCC,"Cloud computing services (AWS, Azure), Microservice architecture, stream and batch processing (Spark, EMR, Kinesis, Kafka, Flink, Beam), databases (Cassandra, Redshift, Postgres), Kubernetes, Docker, Elasticsearch, automation, Infrastructure as Code, CI-CD pipelines, SQL, Python, Scala, Java, AWS services (EC2, EMR, Fargate, Redshift, S3, IAM, Route53, RDS, VPC, Lambda, SQS, SNS, EKS, CloudWatch, API Gateway), Azure equivalent services, SDWAN concepts, networking.","Experience building scalable applications in cloud environments (AWS, Azure), proficient in stream/batch processing frameworks (Spark, Kafka, Flink, etc.), automation expertise and familiarity with CI-CD pipelines, strong programming skills in SQL, Python, Scala, Java, hands-on experience with cloud platforms (AWS, Azure), and microservice architecture, Infrastructure as Code experience, working knowledge of networking and SDWAN."
Data Analyst,IBM,GCC,"Financial data analysis, BI tools (Mode, Tableau, Power BI), SQL, PowerQuery, accounting data.","Strong SQL skills, experience with BI tools (Mode, Tableau, Power BI), financial data analysis, proficiency in PowerQuery, supporting accounting teams, data visualization and reporting."
Cloud Data Analyst,IBM,GCC,"Data analytics, data acquisition and processing, data visualization, Agile methodologies, cloud-based services (SaaS, PaaS, IaaS), containerized runtimes, AI/ML model training, Python, REST API programming, data modeling libraries (Jupyter Notebook, Pandas), Microsoft Excel, machine learning evaluation.","Data acquisition, analysis, and visualization, advanced Excel (formulas, pivot tables, charts), communicating complex technical issues to non-technical audiences, team leadership, work decomposition, Agile project management, experience with Tableau, Power BI, Python, and REST APIs, presenting key findings to business leaders, cloud infrastructure management, AI/ML model training and improvement."
Data Engineer,IBM,GCC,"Data Engineering, Machine Learning, Python programming, RESTful APIs, MySQL, PostgreSQL, Web scraping, Data collection methods, Exploratory Data Analysis (EDA), Data management, Knowledge bases, Cloud platforms (IBM Cloud, Cirrus), DevOps tools (GitHub Enterprise, CI/CD), Data security, privacy, compliance standards.","Optimizing data retrieval, improving machine learning workflows, real-time performance enhancement for Generative AI systems, collaborating with Product Managers and technical leads, building data pipelines, integrating models into production environments, supporting AI use cases, creating tools for PMs, ensuring smooth data flow, ensuring regulatory compliance in data processes."
Business Analyst,SAP Labs,GCC,"Spend analysis, Cost planning, Financial modeling, Forecasting techniques, Data analysis, Financial databases, SAP ERP, SAP Analytics Cloud, BW, Business intelligence platforms, Data visualization tools.","Analyzing complex data sets, Collecting and organizing financial data, Communicating complex financial information, Presenting financial findings clearly and concisely, Ensuring data accuracy and integrity, Proficiency in Microsoft Office suite, Attention to detail, Financial analysis in IT/software services industry, Familiarity with SAP ERP systems and analytics tools."
Senior Data Engineer,SAP Labs,GCC,"Data architecture design, Data ingestion, Storage and processing requirements, Data modeling, Data schemas, Business needs alignment, Analytical goals, Data management technologies, Databases, Data warehouses, Cloud platforms (AWS, Azure, Google Cloud), Statistical analysis, Machine learning, Predictive modeling, Prescriptive modeling, ETL tools, Data visualization tools (SAP Datasphere, SAP SAC, Tableau, Power BI).","Designing scalable and secure data architectures, Implementing data models and schemas, Recommending data management technologies, Extracting insights through data analysis, Developing predictive and prescriptive models, Proficiency in Java and Python, Experience with data architecture frameworks, Data visualization, Fluency in English (both written and spoken)."
Senior Data Scientist,SAP Labs,GCC,"Machine learning algorithms, Model evaluation and validation techniques, Generative AI, Large Language Models, SQL and NoSQL databases, Cloud platforms (AWS Sagemaker, MLFlow, Weights and Biases), Machine learning frameworks, Data pipelines, Model deployment in production.","Strong programming skills in Python, Proficiency in machine learning libraries (scikit-learn, Hugging Face, Langchain, PyTorch), Effective communication of complex technical concepts to non-technical stakeholders, Experience in building data pipelines, Deployment of machine learning models in production environments."
Client Data Analyst,JP Morgan Chase,GCC,"KYC (Know Your Customer), Audit, Control, Risk, AML (Anti-Money Laundering), Research, Data analysis, Controls and compliance standards.","Strong research, analytical, and comprehension skills, Ability to analyze large data sets, Client-focused with excellent customer engagement, Self-starter with high motivation and commitment, Experience working in a team environment, Problem-solving skills."
"Business Analyst (SAS, SQL, Python)",JP Morgan Chase,GCC,"Risk and control environment, Pricing core systems, Credit Card domain knowledge, Mainframe systems, Automation tools (VBA, SAS, SQL, Python, Tableau, Selenium, Alteryx), Agile working environment, Control procedures and documentation, Root cause analysis, Metrics analysis.","Experience in coding (Python, SQL, SAS), Strong business acumen, Problem-solving, Automation framework development, Data synthesis and analysis, Communication (written/verbal), Presentation skills, Attention to detail in documentation and communication, Ability to work independently and manage multiple tasks, Ability to influence business leaders, Shift work adaptability (1 PM to 10 PM IST)."
Business Analyst/Manager Business Analyst,HSBC,GCC,"Financial instruments (OTCs, Credit Derivatives, Interest Rate Derivatives, Securities Financing Transactions, ETDs, FX, Equities, Repos, Stock Borrow Lending), Data Modelling (Trade, Position, Product, Cashflow, Valuation, Risk, Collateral, Accounting, Client, Reference and Market Data), Front-to-Back Trade lifecycle, Booking Models, FO-BO-GL Recs, Cross-functional business functions (Front Office, Middle Office, Back Office, Finance, Risk, Regulatory Reporting), Capital markets cross-asset products (FX, Equities, Fixed Income, Rates, Credit, Commodities), SDLC processes, Big Data environments (Hadoop, Spark), ETL processes, Data warehousing, Financial data sourcing, FpML.","Data analysis, SQL (writing and interpreting), Spark SQL, Python, Airflow, Git, REST APIs, XML/XSD, JSON/Protobuf, CI/CD pipelines, Data processing pipelines, Data sourcing, Agile/Scrum/DevOps, ETL, Database technologies (SQL Server, Oracle), SDLC tools (JIRA, Jenkins, Git), Strong interpersonal skills, Collaboration with senior stakeholders, Documentation skills, Strong problem-solving, Ability to work under tight deadlines, Ability to manage issues independently, BDD experience, Project management (status reporting, risk/issue logs), Diagramming, Influence and negotiation with stakeholders."
Manager Data Analyst,HSBC,GCC,"Banking operations and processes (Risk, Finance context), Agile (Scrum), JIRA, Confluence, SQL and data query languages, Hadoop Big Data, Delta Lake, Google Cloud Platform (GCP), Data Virtualization products and technologies, Data Security/Entitlements/Encryption products, Observability, monitoring, and instrumentation technologies, REST and Streaming APIs.","Project collaboration tools (JIRA, Confluence), Data query languages (SQL), Hadoop Big Data, Delta Lake, Google Cloud Platform, Data Virtualization, Data Security, Data Encryption, Observability, Monitoring tools, REST APIs, Streaming APIs, Agile methodologies (Scrum)."
Senior Data Analyst/Lead Consultant Specialist,HSBC,GCC,"Finance background with financial instruments (OTCs, Credit Derivatives, Interest Rate Derivatives, Securities Financing, FX, Equities, ETDs), Data Modelling (Trade, Position, Cashflow, Valuation, Risk, Collateral, Accounting, Client, Reference, Market Data), Data analysis techniques and methodologies, SQL, Python, Airflow, Big Data technologies (Hadoop, Spark), Front-to-Back Trade lifecycle, Capital Markets (FX, EQ, FI, Rates, Credit, Commodity), SDLC tools (JIRA, Jenkins, Git), Data warehouse systems (SQL Server, Oracle), Behavioral Driven Development, FpML.","Strong technical and data analysis skills (Spark SQL, Git, XML/XSD, JSON/Protobuf, REST APIs, CICD pipelines), Python, Airflow, Data sourcing, Data analysis, Writing and interpreting SQL, ETL processes, Data processing pipelines, Project management, Agile/Scrum/DevOps, Cross-functional business knowledge (Front Office, Middle Office, Back Office), Communication with senior stakeholders, Diagramming & documentation, Managing large-scale data projects, Delivering high-quality products."
Data scientist,Paypal,GCC,"Bachelor�s in a quantitative field (math, statistics, computer science, or similar STEM fields), advanced degrees preferred, Understanding of statistics (hypothesis testing, statistical inference, regression), Product strategy analysis, Experience designing and evaluating complex experiments, Data-driven decision-making.","At least 3 years of experience in data analysis, Synthesizing insights from multi-dimensional data sets, Fluent in SQL, Proficiency in Python or R, Strong project management and interpersonal skills, Leading cross-functional teams, Experience with visualization tools (e.g., Tableau), Experience working with large, complex datasets, Ability to influence product strategy, Data-centric presentations, Prior experience in product analytics."
Data analyst,Paypal,GCC,"Master�s degree in Statistics, Analytics, Data Science, or Business Administration, Experience within Financial Services/Credit industry, Collections and Digital Channels, Strong understanding of data-driven problem-solving, Familiarity with technology environments","Experience in financial services or credit industry, High proficiency in SQL, Experience with Python, R, Unix, and Hadoop, Strong organizational and follow-through skills, Excellent written, verbal, and interpersonal communication, Creative problem-solving approach, Ability to work in a technology-driven environment, ""Can-do"" mentality."
Data Engineer,Paypal,GCC,"Data engineering with Java EE technologies, Big Data technologies (Spark, Flink, BigQuery, Data Proc, PubSub, Kafka, Hadoop, Hive), SQL, NoSQL, modern database and storage technologies, Design Patterns, MVC, frameworks, Rest API design and implementation, Docker, Kubernetes, Agile/Scrum methodology.","Experience with Java EE technologies for data engineering, Proficiency in Big Data tools (Spark, Flink, Kafka, Hadoop, etc.), Strong knowledge of databases (SQL, NoSQL), Expertise in Rest API and Spring framework, Ability to transform requirements into scalable software designs, Competence in design for reliability, scalability, and performance, Familiarity with Java build tools and best practices (unit testing, CI/CD), Strong focus on code craftsmanship, coding standards, and quality, High curiosity and passion for technology, Strong ownership and striving for excellence."
"Engineer, Associate - Wireless_ML",Qualcomm,GCC,"ML Engineering, data modeling, data warehousing, ETL pipelines, large data environments, AWS analytical technologies (Glue, Athena, QuickSight, SageMaker), Big Data tools and platforms, SQL, data exchange formats, data visualization, Machine Learning, Wireless Systems (5G), wireless ML domain.","Machine Learning Engineer, Solid experience in LLM (Large Language Models), Experience with Python, AWS analytical tools, and SQL, Expertise in building ETL pipelines, Working with large data warehouses, Strong data visualization skills, Familiar with managing on-premises data with AWS pipelines, Ability to work with Wireless Systems/SW engineers, Experience in the Wireless (5G) domain a plus, Strong understanding of machine learning concepts and their application."
Senior Data Engineer,Qualcomm,GCC,"Data engineering, data analytics, SQL, Python, R, Java, Scala, data warehouse and data lake architectures, data modeling techniques, cloud-based data platforms (AWS, Azure), data pipeline tools (Airflow, Spark, Kafka), business intelligence and reporting (Power BI, Tableau), data quality, data governance, data visualization, data storytelling, IT business processes (ITSM, ITFM, PPM, CMDB, EA), agile methodologies, CICD pipelines.","data engineering and analytics, Proficient in SQL and Python, Experience with data modeling and cloud platforms (AWS, Azure), Knowledge of data pipeline tools like Airflow, Spark, Kafka, Experience with business intelligence tools (Power BI, Tableau), Strong analytical, problem-solving, and attention to detail, Familiar with agile and CICD, Strong communication and collaboration in fast-paced environments."
Staff Engineer - ML,Qualcomm,GCC,"C/C++, Python programming, Embedded software development, ML operators (Transformers, LSTM, GRUs), Software design patterns, Multi-threaded programming (POSIX, PTHREADS), Computer architecture, Operating systems, Data structures, Basic algorithms, Fixed point coding, ML frameworks (PyTorch, TensorFlow, ONNX), Model quantization and compression techniques, ML inference optimizations, AI hardware accelerators (NPU).","Strong programming in C/C++ and Python, Expertise in embedded platforms, Familiarity with ML frameworks and operators, Knowledge of multi-threaded and fixed-point coding, Experience with AI hardware accelerators and inference optimizations, Ability to apply software design patterns and optimize performance on embedded systems."
Data Scientist I,Bank of America,GCC,"Business analytics, Data analysis, Trend identification, Pattern recognition, Statistical analysis, Machine learning, Text mining, Data management, Technical documentation, Risk management, Policies, procedures, and guidelines management.","Analytical thinking, Attention to detail, Business analytics, Agile practices, Application development, Data visualization, DevOps practices, Collaboration, Networking, Written communication."
Data Engineer II A - GBS IND,Bank of America,GCC,"Big Data domain, Hadoop stack technologies (HDFS, Spark, Yarn, Hive, Sqoop, Impala, Hue), NoSQL technologies (HBase, MongoDB, SingleStore), Real-time streaming technologies (Spark Streaming, Kafka, Flink, Storm), Cloud technologies (Azure, AWS, GCP), Machine learning algorithms, Data integration, Data security, Kerberos.","Python, Scala, Bash/Shell scripting, Visual analytics tools (Tableau), Data analysis, Statistical analysis, Data security, Predictive modeling, Problem-solving, Data integration, Cloud platform expertise, Machine learning programming (Python/R)."
Data Engineer II A - GBS IND,Bank of America,GCC,"Quality assurance tools, methods, concepts, Continuous Monitoring Tool, SharePoint, regulatory standards, enterprise change policy, CVE (Common Vulnerabilities and Exposures), vulnerability data, SORs (System of Record), public vulnerability data, external vendors.","Technical and manual QA activities, data collection and analysis, communication (verbal/written), organizational skills, attention to detail, problem-solving, partnership and relationship building, Excel (VLOOKUP, pivot tables, macros), PowerPoint, SharePoint, investigative skills, results delivery in challenging situations."
Business Analyst,Shell,GCC,"Physical commodities trading markets (LNG, Gas, Oil, Power), ETRM market, Nominations, Settlements, Accounting, AGILE project delivery, Business analysis techniques, Solution feasibility and risk assessment, Business case development, Trader models, Geographically distributed teams.","IT experience, Business problem capturing, Requirements gathering (functional/non-functional), Solution translation, Problem-solving, Complex concept articulation, Task delivery focus, Cost-benefit analysis, Stakeholder management, Cross-functional teamwork, Communication (verbal & written), Time management."
Digitalization Specialist,Shell,GCC,"DIY digitalization solutions, Plant/Industry experience, GEN AI technologies, Machine learning algorithms, Data pre-processing, Natural Language Processing (NLP), Large Language Models (GPT, BERT), Data integration, Real-time data processing, Data analytics, S4 Hana integration, Data visualization, Predictive analytics, Digitalization trends, AI technologies.","IT consulting, Data manipulation (Python, R, SQL), Machine learning application, Data visualization techniques, Project management, Stakeholder collaboration, Communication (verbal & written), Cross-functional teamwork, Continuous learning, Time management, Multi-tasking, Problem-solving."
Label Analyst,Shell,GCC,"Project management methodologies, Stakeholder management, Process/system implementation, Cross-cultural and virtual collaboration.","Organization, Accountability, Attention to detail, Leadership, Influence, Communication (verbal & written), Advanced computer skills (Word, Excel, PowerPoint, GSAP), Cross-functional teamwork, Problem-solving, Time management."
"Manager, Data Science - Visa Consulting and Analytics",Visa,GCC,"Data extraction, Machine learning (regression, clustering, classification), Analytical problem-solving, Business intelligence, Data modeling, Predictive analysis, Dashboard design, Statistical analysis, Operational research, Computer science fundamentals.","SQL, Hive, Spark, Python, Tableau, PowerPoint, Excel, Dashboard creation, Communication (verbal & written), Multitasking, Self-motivation, Time management, Data visualization, Problem-solving, Travel flexibility."
Senior Manager Data Science - Visa Consulting & Analytics,Visa,GCC,"Data science, AI, Statistical modeling, Linear regression, Logistic regression, Clustering methods (K-means), Principal components analysis, Classification methods (decision trees, gradient boosting), Monte Carlo analysis, Natural language processing, Machine learning ecosystems (TensorFlow, Keras, Scikit-learn, PyTorch), Big data technologies (Python/PySpark, R, SQL, Hadoop/Hive, Presto, SAS), Retail banking, Payments, Financial services, Cloud platforms (AWS, Azure, GCP).","Data science consulting, Machine learning model development, Data extraction and manipulation, Project management, Organizational skills, Communication (verbal & written), Presentation skills, AI deployment, Data-driven decision-making, Problem-solving, Stakeholder collaboration"
